itime=1562793291;date=2019-07-10;time=23:14:51;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_GetRequest;appcat=Network.Service;appid=34789;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_GetRequest,""";policyid=3;proto=17;service=SNMP;sessionid=164240;srcintf=wifi;srcip=192.168.52.3;srcport=57585;
itime=1562793285;date=2019-07-10;time=23:14:44;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_GetRequest;appcat=Network.Service;appid=34789;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_GetRequest,""";policyid=3;proto=17;service=SNMP;sessionid=164231;srcintf=wifi;srcip=192.168.52.3;srcport=57576;
itime=1562793282;date=2019-07-10;time=23:14:42;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_GetRequest;appcat=Network.Service;appid=34789;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_GetRequest,""";policyid=3;proto=17;service=SNMP;sessionid=164227;srcintf=wifi;srcip=192.168.52.3;srcport=57572;
itime=1562793267;date=2019-07-10;time=23:14:28;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=Skype;appcat=Collaboration;appid=10;applist=default;;;;dstintf=wan1;dstip=40.67.252.61;;dstport=443;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Collaboration: Skype""";policyid=3;proto=6;service=HTTPS;sessionid=164204;srcintf=wifi;srcip=192.168.52.3;srcport=56953;
itime=1562793267;date=2019-07-10;time=23:14:28;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SSL_TLSv1.2;appcat=Network.Service;appid=41540;applist=default;apprisk=medium;;;dstintf=wifi;dstip=40.67.252.61;;dstport=443;eventtype=app-ctrl-all;hostname=neudb5-client-s.gateway.messeng;level=information;logid=28704;logver=52;"msg=""Network.Service: SSL_TLSv1.2,""";policyid=3;proto=6;service=HTTPS;sessionid=164204;srcintf=wan1;srcip=192.168.52.3;srcport=56953;url=/
itime=1562793267;date=2019-07-10;time=23:14:28;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SSL;appcat=Network.Service;appid=15895;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=40.67.252.61;;dstport=443;eventtype=app-ctrl-all;hostname=neudb5-client-s.gateway.messeng;level=information;logid=28704;logver=52;"msg=""Network.Service: SSL,""";policyid=3;proto=6;service=HTTPS;sessionid=164204;srcintf=wifi;srcip=192.168.52.3;srcport=56953;url=/
itime=1562793256;date=2019-07-10;time=23:14:14;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_GetRequest;appcat=Network.Service;appid=34789;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_GetRequest,""";policyid=3;proto=17;service=SNMP;sessionid=164166;srcintf=wifi;srcip=192.168.52.3;srcport=63005;
itime=1562793252;date=2019-07-10;time=23:14:12;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_GetRequest;appcat=Network.Service;appid=34789;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_GetRequest,""";policyid=3;proto=17;service=SNMP;sessionid=164122;srcintf=wifi;srcip=192.168.52.3;srcport=51477;
itime=1562793229;date=2019-07-10;time=23:13:50;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_V1;appcat=Network.Service;appid=16196;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_V1,""";policyid=3;proto=17;service=SNMP;sessionid=164085;srcintf=wifi;srcip=192.168.52.3;srcport=51448;
itime=1562793226;date=2019-07-10;time=23:13:47;devid=FWF40C3915001580;vd=root;type=utm;subtype=app-ctrl;action=pass;app=SNMP_V1;appcat=Network.Service;appid=16196;applist=default;apprisk=elevated;;;dstintf=wan1;dstip=192.168.1.203;;dstport=161;eventtype=app-ctrl-all;;level=information;logid=28704;logver=52;"msg=""Network.Service: SNMP_V1,""";policyid=3;proto=17;service=SNMP;sessionid=164080;srcintf=wifi;srcip=192.168.52.3;srcport=51443;
